,hero1,hero2
0,NOMAD III/JACK MONRO,"COOPER, DR. VALERIE"
1,NIGHTHAWK/KYLE RICHM,HELLSTORM/DAIMON HEL
2,"CORNELIUS, DR.",MAVERICK/CHRISTOPHER
3,BLACK BOLT/BLACKANTO,TRITON
4,ROGUE /,HAVOK/ALEX SUMMERS 
5,LOKI [ASGARDIAN],SCARLET WITCH/WANDA 
6,NIGHTCRAWLER/KURT WA,"WILFORD, BONNIE"
7,AJAK/TECUMOTZIN [ETE,ARABIAN KNIGHT/ABDUL
8,BEDLAM/JESSE AARONSO,DOMINO III/BEATRICE/
9,STORM/ORORO MUNROE S,ICEMAN/ROBERT BOBBY 
10,MORDRED THE EVIL,QUASAR III/WENDELL V
11,THOR/DR. DONALD BLAK,HUMAN TORCH/JOHNNY S
12,SHADOWCAT/KATHERINE ,KYMRI
13,SHE-HULK/JENNIFER WA,VOLSTAGG
14,ZABU,SHANNA/SHANNA O'HARA
15,TOAD/MORTIMER TOYNBE,SHATTERSTAR II/GAVEE
16,DAREDEVIL/MATT MURDO,"JONES, RICHARD MILHO"
17,HOBGOBLIN V/JASON PH,SPIDER-MAN/PETER PAR
18,PESTILENCE/CAPT. F.R,NORTHSTAR/JEAN-PAUL 
19,"MCKEEVER, TINY",THING/BENJAMIN J. GR
20,"SUMMERS, MADELYNE MA",BARBARUS
21,SPIDER-MAN/PETER PAR,WRECKER III/DIRK GAR
22,SAMEDAR,CORSAIR
23,ABOMINATION/EMIL BLO,STRANGER
24,HODER [ASGARDIAN],ZEUS
25,CONSTRICTOR/FRANK PA,BLUE STREAK/
26,WONG,SILVER SURFER/NORRIN
27,MARVEL GIRL/JEAN GRE,JUBILEE/JUBILATION L
28,MR. FANTASTIC/REED R,"BEL-DANN, GEN."
29,GHOST GIRL/,DYNA-MITE/ROGER AUBR
30,ARRANGER/,HIGH EVOLUTIONARY/HE
31,KUROKO/,CYBERTOOTH/YEN HSIEH
32,SHE-HULK/JENNIFER WA,MR. FANTASTIC/REED R
33,"FAIRMONT, HANNAH",DESIGNATE/TARENE
34,THOR/DR. DONALD BLAK,KARNAK [INHUMAN]
35,LOKI [ASGARDIAN],DR. DOOM/VICTOR VON 
36,VOLSTAGG,BLACK KNIGHT V/DANE 
37,DAREDEVIL/MATT MURDO,BLACK WIDOW/NATASHA 
38,ARIES II/GROVER RAYM,BLACK PANTHER/T'CHAL
39,SLAB/KRIS ANDERSON,STROBE/
40,CAPTAIN BRITAIN/BRIA,MOONSTONE II/KARLA S
41,THING/BENJAMIN J. GR,DAZZLER II/ALLISON B
42,IRON MAN/TONY STARK ,THING/BENJAMIN J. GR
43,"LOMENZO, NICOLE",BOOMER/TABITHA SMITH
44,"JAMESON, J. JONAH","URICH, BEN"
45,MEDUSA/MEDUSALITH AM,BALDER [ASGARDIAN]
46,SCARLET WITCH/WANDA ,CYCLOPS/SCOTT SUMMER
47,SPIDER-MAN CLONE/BEN,REINHOLDT
48,SIBERION,"VONYA, DR. ANATOLY"
49,"GREY, ELAINE",CANNONBALL II/SAM GU
50,NUKLO/ROBERT FRANK J,MOONSTONE II/KARLA S
51,MENTALLO,HAWK
52,MOONDRAGON/HEATHER D,KISMET/J'RIDIA STARD
53,JEMIAH,"RICHARDS, FRANKLIN 2"
54,"TANAKA, KENJIRO",ARCANNA/ARCANNA JONE
55,ARABIAN KNIGHT/ABDUL,LUNA/LUNA MAXIMOFF [
56,HAWK,CLEA
57,KLAW/ULYSSES KLAW,RAMSHOT/
58,ANTHROMORPHO,THUNDERSTRIKE/ERIC K
59,MAGMA/AMARA AQUILLA/,BRIGHTWIND
60,BEAST/HENRY &HANK& P,CAPTAIN AMERICA V/RO
61,CANNONBALL II/SAM GU,ANGEL/WARREN KENNETH
62,"GLENN, HEATHER",TURK
63,BALDER [ASGARDIAN],HEIMDALL [ASGARDIAN]
64,TITANIA II/MARY SKEE,HYDROMAN/MORRIE BENC
65,EENY,MEANY
66,LIVING LIGHTNING/MIG,STRONG GUY/GUIDO CAR
67,"CARTER, SHARON",USAGENT/CAPTAIN JOHN
68,VOLSTAGG,SIF
69,CITIZEN V II/HELMUT ,SPIDER-MAN/PETER PAR
70,CH'OD,COLOSSUS II/PETER RA
71,"JAMESON, MARLA MADIS",SPIDER-MAN/PETER PAR
72,HAWK,BLACK PANTHER/T'CHAL
73,MINOTAUR II,"SITWELL, JASPER"
74,BLIZZARD II/DONALD G,JOLT/HALLIE TAKAHAMA
75,HERCULES [GREEK GOD],BINARY/CAROL DANVERS
76,DEATH ADDER,EL JAGUAR
77,"HSU, CHEN",MANDARIN
78,"SCRATCH, NICHOLAS","NORRISS, SISTER BARB"
79,MARVEL GIRL/JEAN GRE,ANGEL/WARREN KENNETH
80,THOR/DR. DONALD BLAK,FANDRAL [ASGARDIAN]
81,"FROST, CORDELIA",PENANCE/MONET ST. CR
82,PROFESSOR X/CHARLES ,BLOB/FRED J. DUKES
83,ARACHNE,LILANDRA NERAMANI [S
84,AVALANCHE/DOMINIC PE,COLOSSUS 2013
85,"LE FEY, MORGAN",VALINOR
86,BRIGHTSWORD/CARTER D,CADUCEUS
87,WOLVERINE/LOGAN ,HAVOK/ALEX SUMMERS 
88,SHAMROCK/MOLLY FITZG,CAPTAIN BRITAIN/BRIA
89,ANGEL/WARREN KENNETH,BEAST/HENRY &HANK& P
90,COLOSSUS II/PETER RA,ROGUE /
91,WOLVERINE/LOGAN ,"GREY, DR. JOHN"
92,IRON MAN/TONY STARK ,TEXAS TWISTER/DREW D
93,MONGOOSE,"ASBERY, SHAMARI"
94,WONDER MAN/SIMON WIL,"SITWELL, JASPER"
95,"LYNN, NORMA",DELILAH
96,FALCON/SAM WILSON,MADCAP
97,TIGRA/GREER NELSON,WOLVERINE/LOGAN 
98,LIVING LIGHTNING/MIG,DAREDEVIL/MATT MURDO
99,USAGENT/CAPTAIN JOHN,MARVEL GIRL/JEAN GRE
100,BOOMER/TABITHA SMITH,SAUL
101,STORM/ORORO MUNROE S,QUICKSILVER/PIETRO M
102,ICEMAN/ROBERT BOBBY ,DARKSTAR/LAYNIA SERG
103,KLAW/ULYSSES KLAW,THING/BENJAMIN J. GR
104,IGOR,BLACK KNIGHT V STATU
105,BROTHERS GRIMM II/BA,WASP/JANET VAN DYNE 
106,NIGHTCRAWLER/KURT WA,"MACTAGGERT, MOIRA KI"
107,"CASSADA, MICHAEL","LEEDS, NED"
108,WHITE QUEEN/EMMA FRO,ABSORBING MAN/CARL C
109,"MACTAGGERT, MOIRA KI",WHITE QUEEN/EMMA FRO
110,GAMBIT/REMY LEBEAU ,PROFESSOR X/CHARLES 
111,WASP/JANET VAN DYNE ,HOTSHOT/LOUIS
112,"LEBEAU, JEAN-LUC","BOUDREAUX, BELLA DON"
113,LIVEWIRE/RANCE PREST,FRIDAY
114,"BALLANTINE, KAYLA",CROSSBONES/BROCK BIN
115,MIRAGE II/DANIELLE M,CHAMBER/JONOTHON STA
116,HELLEN,"FREDERICKS, GENERAL"
117,TURBO II (A)/MICHIKO,"MUTO, JUNZO"
118,"THOMPSON, EUGENE FLA","OSBORN, LIZ ALLAN"
119,VISION ,DINAH-SOAR
120,"JAMESON, COL. JOHN ","STACY, GWEN"
121,MS. MARVEL II/SHARON,BLACK CAT/FELICIA HA
122,NAMORITA/NITA PRENTI,ABRAXAS
123,WOLFSBANE/RAHNE SINC,MIRAGE II/DANIELLE M
124,ICEMAN/ROBERT BOBBY ,"SOUTHERN, CANDY"
125,"BRIDGE, GEORGE WASHI",PHOENIX III/RACHEL S
126,MOON KNIGHT/MARC SPE,SCORPIO II
127,ULTRON,WOLVERINE/LOGAN 
128,WOLVERINE/LOGAN ,SALVO
129,CAPTAIN MARVEL/CAPTA,"JONES, RICHARD MILHO"
130,IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
131,SHROUD/MAXIMILLIAN Q,CAT II
132,LILANDRA NERAMANI [S,BETA RAY BILL
133,PILEDRIVER II/BRIAN ,BINARY/CAROL DANVERS
134,BEEFER,"BLAIRE, CARTER"
135,PYRO/ALLERDYCE JOHNN,SPIDER-WOMAN II/JULI
136,NEKRA/ADRIENNE HATRO,"O'HARA, ROBERT IRONG"
137,ARCLIGHT/PHILLIPA SO,HAVOK/ALEX SUMMERS 
138,LEGION II/DAVID HALL,FORGE
139,MARVEL GIRL/JEAN GRE,SIRYN/THERESA ROURKE
140,"HALLER, GABRIELLE",MIRAGE II/DANIELLE M
141,WONG,RINTRAH
142,"OSBORN, HARRY","STACY, GWEN"
143,"PATILIO, MARIE",FROG-MAN II/EUGENE P
144,PUPPET MASTER/PHILLI,SASQUATCH/WALTER LAN
145,HOGUN [ASGARDIAN],TANA NILE
146,NORTHSTAR/JEAN-PAUL ,PUCK/EUGENE MILTON J
147,VOLLA,EXECUTIONER II/SKURG
148,IRON MAN/TONY STARK ,VISION 
149,FANDRAL [ASGARDIAN],HIGH EVOLUTIONARY/HE
150,HERCULES [GREEK GOD],BYRRAH [ATLANTEAN]
151,STARFOX/EROS,MOON KNIGHT/MARC SPE
152,"FRIEDLANDER, SHARON",MAGMA/AMARA AQUILLA/
153,"DUGAN, TIMOTHY ALOYI","FURY, COL. NICHOLAS "
154,"STACY, CAPT. GEORGE","WATSON-PARKER, MARY "
155,VOR/TEX,IRON MAN/TONY STARK 
156,HUMAN TORCH/JOHNNY S,SCARLET WITCH/WANDA 
157,PROFESSOR X/CHARLES ,STORM/ORORO MUNROE S
158,"HATCHWAY, VERNON",FIXER II/PAUL NORBER
159,"THOMPSON, EUGENE FLA",JACK O'LANTERN II/MA
160,QUASAR III/WENDELL V,3-D MAN/CHARLES CHAN
161,THOR/DR. DONALD BLAK,SILVER SURFER/NORRIN
162,GAMBIT/REMY LEBEAU ,BANSHEE/SEAN CASSIDY
163,SKIN/ANGELO ESPINOSA,CHAMBER/JONOTHON STA
164,HILDEGARDE [ASGARDIA,GENII/JASON KIMBALL
165,MALEKITH/MALCOLM KEI,LORELEI II/MELODI [A
166,"NORRISS, SISTER BARB","BLESSING, MORGANA"
167,NIGHTCRAWLER/KURT WA,WOLVERINE/LOGAN 
168,STORM/ORORO MUNROE S,SKIDS/SALLY BLEVINS
169,"DAMIAN, MARGO",IKARIS/IKE HARRIS [E
170,ETERNITY/ADAM QADMON,"HUDSON, HEATHER"
171,WOLVERINE/LOGAN ,ALBERT
172,WARLOCK III,HELA [ASGARDIAN]
173,HAVOK/ALEX SUMMERS ,MYSTIQUE/RAVEN DARKH
174,MOON KNIGHT/MARC SPE,ARIA
175,DRAX/ARTHUR DOUGLAS,BEAST/HENRY &HANK& P
176,SCREAM,OGRE
177,KASPIN,SHULK
178,"SUMMERS, SCOTT III |",BLOODSTORM | MUTANT 
179,AURORA/JEANNE-MARIE ,WEAPON X III
180,THING/BENJAMIN J. GR,SCARLET WITCH/WANDA 
181,CAPTAIN AMERICA,BLACK KNIGHT V/DANE 
182,"JONES, MARLO CHANDLE",LEADER/SAM STERNS
